Process	rawID	newID	Orthogroup_ID	IPR_ID	IPR_desc	Organism...6	ko_evalue	ko_ID	ko_desc	KeggPathway_ID	KeggPathway_desc	BP:GO	BP:desc	BP:catIII	BP:catII	MF:GO	MF:desc	MF:catIII	MF:catII	CC:GO	CC:desc	CC:catIII	CC:catII	hit	hit_desc	Organism...26	uni_evalue	%algCopepod	%algHit	Pfam_ID	Pfam_desc	Pfam_evalue	peptideSignal	TM_occurence	RPKM_Hypox1	RPKM_Hypox2	RPKM_Hypox3	RPKM_Norma1	RPKM_Norma2	RPKM_Norma3	Mean_Metridinidae	Mean_Centropagoidae	Mean_Pancalanidae
Sumetabo	TRINITY_DN14735_c2_g1_i2	Eucalanus-hyalinus_20319	OG0001717	IPR000741|IPR013785|IPR029768	Fructose-bisphosphate aldolase, class-I|Aldolase-type TIM barrel|Fructose-bisphosphate aldolase class-I active site	Opisthokonta|Metazoa	2.62e-114	ko01000|ko03036|ko04131|ko04147	Enzymes|Chromosome_and_associated_proteins|Membrane_trafficking|Exosome	ko00010|ko00030|ko00051|ko00680|ko00710	Glycolysis/Gluconeogenesis_(Carbohydrate_metabolism)|Pentose_phosphate_pathway_(Carbohydrate_metabolism)|Fructose_and_mannose_metabolism_(Carbohydrate_metabolism)|Methane_metabolism_(Energy_metabolism)|Carbon_fixation_in_photosynthetic_organisms_(Energy_metabolism)	GO:0006096	glycolytic_process	cellular_metabolic_process	metabolic_process	GO:0004332|GO:0003824	fructose-bisphosphate_aldolase_activity|catalytic_activity	lyase_activity|catalytic_activity	catalytic_activity|catalytic_activity	-	-	-	-	tr|A0A0U2VC80|A0A0U2VC80_9MAXI	Fructose-bisphosphate_aldolase	Pseudodiaptomus_poplesia	2.4e-133	100	99	PF00274	Fructose-bisphosphate aldolase class-I	1.9E-131	N	0	24.0123803413157	54.7842086739449	17.0078290762848	2.53812377548818	4.39818376637784	3.35387085092553	2,833333333	2,9	3,055555556
Sumetabo	TRINITY_DN12601_c0_g1_i6	Eucalanus-hyalinus_16165	OG0002378	IPR000836|IPR000842|IPR005946|IPR029057	Phosphoribosyltransferase domain|Phosphoribosyl pyrophosphate synthetase, conserved site|Ribose-phosphate pyrophosphokinase|Phosphoribosyltransferase-like	Diptera|Nematocera	2.08e-205	ko01000	Enzymes	ko00030|ko00230	Pentose_phosphate_pathway_(Carbohydrate_metabolism)|Purine_metabolism_(Nucleotide_metabolism)	GO:0009165|GO:0009156|GO:0044249	nucleotide_biosynthetic_process|ribonucleoside_monophosphate_biosynthetic_process|cellular_biosynthetic_process	cellular_metabolic_process|cellular_metabolic_process|biosynthetic_process	metabolic_process|metabolic_process|metabolic_process	GO:0000287|GO:0004749	magnesium_ion_binding|ribose_phosphate_diphosphokinase_activity	ion_binding|transferase_activity	binding|catalytic_activity	-	-	-	-	tr|A0A7M7GJG7|A0A7M7GJG7_APIME	ribose-phosphate_diphosphokinase	Apis_mellifera	7.4e-162	92	90	PF13793|PF14572	N-terminal domain of ribose phosphate pyrophosphokinase|Phosphoribosyl synthetase-associated domain	8.8E-44|1.5E-36	N	0	5.91102932709999	10.8008612255566	4.10644807421951	1.02702853975864	2.03938692855642	1.38710728946708	2,333333333	2,5	4,277777778
Sumetabo	TRINITY_DN35539_c0_g1_i1	Eucalanus-hyalinus_40651	OG0002378	IPR000836|IPR000842|IPR005946|IPR029057	Phosphoribosyltransferase domain|Phosphoribosyl pyrophosphate synthetase, conserved site|Ribose-phosphate pyrophosphokinase|Phosphoribosyltransferase-like	Bilateria|Arthropoda	2.5e-105	ko01000	Enzymes	ko00030|ko00230	Pentose_phosphate_pathway_(Carbohydrate_metabolism)|Purine_metabolism_(Nucleotide_metabolism)	GO:0009165|GO:0009156|GO:0044249	nucleotide_biosynthetic_process|ribonucleoside_monophosphate_biosynthetic_process|cellular_biosynthetic_process	cellular_metabolic_process|cellular_metabolic_process|biosynthetic_process	metabolic_process|metabolic_process|metabolic_process	GO:0000287|GO:0004749	magnesium_ion_binding|ribose_phosphate_diphosphokinase_activity	ion_binding|transferase_activity	binding|catalytic_activity	-	-	-	-	tr|C1C0S2|C1C0S2_CALCM	ribose-phosphate_diphosphokinase	Caligus_clemensi	8.8e-83	100	67	PF13793	N-terminal domain of ribose phosphate pyrophosphokinase	2.9E-45	N	0	26.7937586584736	17.6957091126465	20.0341209301419	1.71890123820396	2.37765062584101	3.36999523001652	2,333333333	2,5	4,277777778
Sumetabo	TRINITY_DN25266_c0_g1_i1	Eucalanus-hyalinus_27395	OG0002538	IPR002048|IPR011992|IPR018247|IPR028846	EF-hand domain|EF-hand domain pair|EF-Hand 1, calcium-binding site|Recoverin family	Metazoa|Bilateria	4.3e-06	ko04131	Membrane_trafficking	-	-	-	-	-	-	GO:0005509	calcium_ion_binding	ion_binding	binding	-	-	-	-	tr|A0A6J8EV50|A0A6J8EV50_MYTCO	Lactase-phlorizin_hydrolase,Myrosinase_1,Beta-glucosidase_1B,Lactase-like_protein,Beta-glucosidase_1A	Mytilus_coruscus	1.1e-14	87	27	PF13499	EF-hand domain pair	1.4E-9	N	0	11.4187446914372	30.7891970739199	12.9412955076693	2.91698997518278	4.20894749085047	3.92474248512562	5,666666667	2,6	5,055555556
Sumetabo	TRINITY_DN13209_c0_g1_i1	Eucalanus-hyalinus_35418	OG0004490	IPR020471|IPR036812|IPR044479	Aldo-keto reductase|NADP-dependent oxidoreductase domain superfamily|L-galactose dehydrogenase-like	Insecta|Paraneoptera	4.76e-104	-	-	-	-	-	-	-	-	GO:0016491|GO:0010349	oxidoreductase_activity|L-galactose_dehydrogenase_activity	oxidoreductase_activity|oxidoreductase_activity	catalytic_activity|catalytic_activity	-	-	-	-	tr|A0A8B7NKW4|A0A8B7NKW4_HYAAZ	L-galactose_dehydrogenase	Hyalella_azteca	1.5e-87	96	96	PF00248	Aldo/keto reductase family	1.2E-40	N	0	8.55576599059555	15.8506778819396	5.29669532386122	2.0386913902724	2.50890184697514	1.8398706817631	2,833333333	1,2	2,555555556
Sumetabo	TRINITY_DN1017_c0_g1_i1	Eucalanus-hyalinus_43023	OG0006885	IPR029753|IPR036291	D-isomer specific 2-hydroxyacid dehydrogenase, NAD-binding domain conserved site|NAD(P)-binding domain superfamily	-	-	-	-	-	-	-	-	-	-	GO:0016616|GO:0051287	oxidoreductase_activity,_acting_on_the_CH-OH_group_of_donors,_NAD_or_NADP_as_acceptor|NAD_binding	oxidoreductase_activity|organic_cyclic_compound_binding	catalytic_activity|binding	-	-	-	-	tr|D3PJH3|D3PJH3_LEPSM	D-lactate_dehydrogenase	Lepeophtheirus_salmonis	1.0e-109	99	98	PF00389|PF02826	D-isomer specific 2-hydroxyacid dehydrogenase, catalytic domain|D-isomer specific 2-hydroxyacid dehydrogenase, NAD binding domain	8.8E-18|1.2E-42	N	0	14.5619977789822	44.9150912772913	12.9030830209341	4.09581061128606	6.300105527819	6.88882809200227	1,5	1,3	1,555555556
Sumetabo	TRINITY_DN25910_c0_g1_i1	Eucalanus-hyalinus_29055	OG0010490	IPR007828	Inositol oxygenase	Diptera|Nematocera	3.04e-123	ko01000	Enzymes	ko00053|ko00562	Ascorbate_and_aldarate_metabolism_(Carbohydrate_metabolism)|Inositol_phosphate_metabolism_(Carbohydrate_metabolism)	GO:0019310	inositol_catabolic_process	small_molecule_metabolic_process	metabolic_process	GO:0005506|GO:0050113	iron_ion_binding|inositol_oxygenase_activity	ion_binding|oxidoreductase_activity	binding|catalytic_activity	GO:0005737	cytoplasm	cytoplasm	cellular_anatomical_entity	tr|A0A553NZ13|A0A553NZ13_TIGCA	Inositol_oxygenase	Tigriopus_californicus	1.4e-102	100	53	PF05153	Myo-inositol oxygenase	7.1E-109	N	0	44.5489719999531	88.0993999732805	48.2384472006702	3.3224250620459	5.01131849409602	5.05998529607393	1,166666667	1,5	0,944444444
Sumetabo	TRINITY_DN24831_c0_g2_i1	Eucalanus-hyalinus_15834	OG0013293	IPR004628|IPR036237	Mannonate dehydratase|Xylose isomerase-like superfamily	-	-	-	-	-	-	GO:0006064	glucuronate_catabolic_process	cellular_metabolic_process	metabolic_process	GO:0008927	mannonate_dehydratase_activity	lyase_activity	catalytic_activity	-	-	-	-	tr|A0A1H8TDK3|A0A1H8TDK3_9PSED	Mannonate_dehydratase	Pseudomonas_sp.	4.3e-99	100	100	PF03786	D-mannonate dehydratase (UxuA)	1.3E-100	N	0	3.81644615601033	6.49795929027949	3.84470334320164	1.29413656126175	1.16437116150232	0.822882811007751	2,666666667	0,6	0,888888889
Sumetabo	TRINITY_DN15328_c0_g1_i1	Eucalanus-hyalinus_36379	OG0012036	IPR004216|IPR009015	L-fucose/L-arabinose isomerase, C-terminal|L-fucose isomerase, N-terminal/central domain superfamily	-	-	-	-	-	-	GO:0005996	monosaccharide_metabolic_process	primary_metabolic_process	metabolic_process	GO:0016861|GO:0008733	intramolecular_oxidoreductase_activity,_interconverting_aldoses_and_ketoses|L-arabinose_isomerase_activity	isomerase_activity|isomerase_activity	catalytic_activity|catalytic_activity	GO:0005737	cytoplasm	cytoplasm	cellular_anatomical_entity	tr|A0A553NYA2|A0A553NYA2_TIGCA	L-fucose_isomerase_C-terminal_domain-containing_protein	Tigriopus_californicus	3.3e-173	100	100	PF02610	L-arabinose isomerase	1.3E-9	N	0	8.10809259005303	14.2460111102749	6.72067278296274	2.05043258415544	2.44600348772763	2.33786051586927	0,666666667	1,3	1
Sumetabo	TRINITY_DN27328_c0_g1_i2	Eucalanus-hyalinus_4569	OG0001697	IPR005886|IPR036291	UDP-glucose 4-epimerase|NAD(P)-binding domain superfamily	Diptera|Nematocera	5.28e-143	ko01000	Enzymes	ko00052|ko00520	Galactose_metabolism_(Carbohydrate_metabolism)|Amino_sugar_and_nucleotide_sugar_metabolism_(Carbohydrate_metabolism)	GO:0006012	galactose_metabolic_process	primary_metabolic_process	metabolic_process	GO:0003978	UDP-glucose_4-epimerase_activity	isomerase_activity	catalytic_activity	-	-	-	-	tr|A0A131YI57|A0A131YI57_RHIAP	UDP-glucose_4-epimerase	Rhipicephalus_appendiculatus	3.3e-122	98	99	PF16363	GDP-mannose 4,6 dehydratase	6.5E-54	N	0	10.9348894402653	15.1766060249943	12.6967652146465	2.20370412283816	4.02541780374944	3.40122617024923	3,5	3	4,555555556
Sumetabo	TRINITY_DN27851_c0_g1_i2	Eucalanus-hyalinus_11462	OG0001221	IPR002347|IPR020904|IPR036291	Short-chain dehydrogenase/reductase SDR|Short-chain dehydrogenase/reductase, conserved site|NAD(P)-binding domain superfamily	Arthropoda|Insecta	2.45e-109	-	-	-	-	-	-	-	-	GO:0016491	oxidoreductase_activity	oxidoreductase_activity	catalytic_activity	-	-	-	-	tr|A0A6A4X3L0|A0A6A4X3L0_AMPAM	Glucose_1-dehydrogenase	Amphibalanus_amphitrite	4.3e-87	98	98	PF13561	Enoyl-(Acyl carrier protein) reductase	1.3E-66	N	0	3.70239809236559	6.64728093593133	3.23147688063087	1.07400400289307	0.793869554977594	0.701880225639588	5	4,3	3,666666667
Sumetabo	TRINITY_DN44333_c0_g1_i1	Eucalanus-hyalinus_8224	OG0000465	IPR000560|IPR016274|IPR029033	Histidine phosphatase superfamily, clade-2|Histidine acid phosphatase, eukaryotic|Histidine phosphatase superfamily	Bilateria|Arthropoda	1.75e-66	ko01000	Enzymes	ko00010|ko00562	Glycolysis/Gluconeogenesis_(Carbohydrate_metabolism)|Inositol_phosphate_metabolism_(Carbohydrate_metabolism)	-	-	-	-	GO:0016791	phosphatase_activity	hydrolase_activity	catalytic_activity	-	-	-	-	tr|A0A310SND8|A0A310SND8_9HYME	Multiple_inositol_polyphosphate_phosphatase_1	Eufriesea_mexicana	1.0e-58	96	89	PF00328	Histidine phosphatase superfamily (branch 2)	1.5E-15	N	0	7.12521005876307	7.90286238283355	2.78124333278858	0.990391849159067	0.921861032124323	0.647238234389138	28,16666667	3,1	7,777777778
Limetabo	TRINITY_DN41558_c0_g1_i1	Eucalanus-hyalinus_11244	OG0000221	IPR025483|IPR029058	Lipase, eukaryotic|Alpha/Beta hydrolase fold	Insecta|Hymenoptera	4.38e-82	ko01000	Enzymes	ko00100|ko04142|ko04979	Steroid_biosynthesis_(Lipid_metabolism)|Lysosome_(Transport_and_catabolism)|Cholesterol_metabolism_(Digestive_system)	GO:0006629	lipid_metabolic_process	primary_metabolic_process	metabolic_process	GO:0016788	hydrolase_activity,_acting_on_ester_bonds	hydrolase_activity	catalytic_activity	-	-	-	-	tr|A0A553P6Y7|A0A553P6Y7_TIGCA	Partial_AB-hydrolase_lipase_domain-containing_protein	Tigriopus_californicus	7.2e-82	89	90	PF04083	Partial alpha/beta-hydrolase lipase region	9.0E-18	N	0	17.0584787733925	33.8149285871376	5.95022032055037	1.13510057778955	2.25398729570344	0.395630877857167	12,16666667	7,6	16,55555556
Limetabo	TRINITY_DN21772_c0_g1_i1	Eucalanus-hyalinus_18640	OG0000221	IPR025483|IPR029058	Lipase, eukaryotic|Alpha/Beta hydrolase fold	Insecta|Hymenoptera	7.11e-99	ko01000	Enzymes	ko00100|ko04142|ko04979	Steroid_biosynthesis_(Lipid_metabolism)|Lysosome_(Transport_and_catabolism)|Cholesterol_metabolism_(Digestive_system)	GO:0006629	lipid_metabolic_process	primary_metabolic_process	metabolic_process	GO:0016788	hydrolase_activity,_acting_on_ester_bonds	hydrolase_activity	catalytic_activity	-	-	-	-	tr|A0A553P6Y7|A0A553P6Y7_TIGCA	Partial_AB-hydrolase_lipase_domain-containing_protein	Tigriopus_californicus	6.0e-103	97	80	PF12146|PF04083	Serine aminopeptidase, S33|Partial alpha/beta-hydrolase lipase region	7.8E-8|6.0E-14	N	0	24.1832873798298	52.7957625710246	5.19578282860454	2.02674759324408	1.68892310655187	2.16445080309292	12,16666667	7,6	16,55555556
Limetabo	TRINITY_DN23716_c0_g1_i1	Eucalanus-hyalinus_21697	OG0000221	IPR025483|IPR029058	Lipase, eukaryotic|Alpha/Beta hydrolase fold	Arthropoda|Insecta	1.15e-113	ko01000	Enzymes	ko00100|ko04142|ko04979	Steroid_biosynthesis_(Lipid_metabolism)|Lysosome_(Transport_and_catabolism)|Cholesterol_metabolism_(Digestive_system)	GO:0006629	lipid_metabolic_process	primary_metabolic_process	metabolic_process	GO:0016788	hydrolase_activity,_acting_on_ester_bonds	hydrolase_activity	catalytic_activity	-	-	-	-	tr|A0A553P6Y7|A0A553P6Y7_TIGCA	Partial_AB-hydrolase_lipase_domain-containing_protein	Tigriopus_californicus	1.5e-116	87	85	PF04083	Partial alpha/beta-hydrolase lipase region	1.1E-22	N	0	20.9491577494143	45.9652840265559	3.63678742368809	1.97789204328409	1.66053731299612	2.47745788404134	12,16666667	7,6	16,55555556
Limetabo	TRINITY_DN9056_c0_g1_i1	Eucalanus-hyalinus_13412	OG0000248	IPR008139|IPR011001	Saposin B type domain|Saposin-like	Bilateria|Chordata	8.69e-05	ko04147	Exosome	ko04142	Lysosome_(Transport_and_catabolism)	GO:0006629	lipid_metabolic_process	primary_metabolic_process	metabolic_process	-	-	-	-	-	-	-	-	tr|A0A0U2V6U0|A0A0U2V6U0_9MAXI	Putative_proactivator_polypeptide	Pseudodiaptomus_poplesia	1.7e-23	79	100	PF05184	Saposin-like type B, region 1	1.3E-8	N	0	155.121760654321	376.619973582965	60.8282367371701	29.9149127771636	35.6119227070409	41.4647366313144	18,5	7,9	16,83333333
Limetabo	TRINITY_DN23661_c0_g1_i1	Eucalanus-hyalinus_16782	OG0000328	IPR002076	ELO family	Arthropoda|Insecta	1.1e-91	ko01000|ko01004	Enzymes|Lipid_biosynthesis_proteins	ko00062	Fatty_acid_elongation_(Lipid_metabolism)	-	-	-	-	GO:0009922	fatty_acid_elongase_activity	transferase_activity	catalytic_activity	-	-	-	-	tr|A0A7R9XA38|A0A7R9XA38_9CRUS	Elongation_of_very_long_chain_fatty_acids_protein_(Fragment)	Argulus_foliaceus	1.1e-81	80	69	PF01151	GNS1/SUR4 family	6.3E-57	N	7	10.2871573796731	8.9874965232879	9.91248166544884	1.2869073419924	1.65351508569126	0.448541998300071	11,5	4,8	13,11111111
Limetabo	TRINITY_DN23451_c0_g1_i1	Eucalanus-hyalinus_19465	OG0000328	IPR002076	ELO family	Diptera|Nematocera	1.92e-92	ko01000|ko01004	Enzymes|Lipid_biosynthesis_proteins	ko00062	Fatty_acid_elongation_(Lipid_metabolism)	-	-	-	-	GO:0009922	fatty_acid_elongase_activity	transferase_activity	catalytic_activity	-	-	-	-	tr|A0A7R9XA38|A0A7R9XA38_9CRUS	Elongation_of_very_long_chain_fatty_acids_protein_(Fragment)	Argulus_foliaceus	9.3e-84	93	81	PF01151	GNS1/SUR4 family	9.7E-58	N	7	12.1307339710124	20.9065245556349	9.70017355928798	1.31519777818435	1.50669760089137	0.793388803444749	11,5	4,8	13,11111111
Limetabo	TRINITY_DN32950_c0_g1_i1	Eucalanus-hyalinus_35534	OG0000384	IPR002641|IPR016035|IPR033562	Patatin-like phospholipase domain|Acyl transferase/acyl hydrolase/lysophospholipase|Patatin-like phospholipase domain-containing protein	Insecta|Lepidoptera	1.47e-107	ko01000|ko03036	Enzymes|Chromosome_and_associated_proteins	ko00561|ko04714|ko04923	Glycerolipid_metabolism_(Lipid_metabolism)|Thermogenesis_(Environmental_adaptation)|Regulation_of_lipolysis_in_adipocytes_(Endocrine_system)	GO:0016042	lipid_catabolic_process	primary_metabolic_process	metabolic_process	GO:0016787	hydrolase_activity	hydrolase_activity	catalytic_activity	-	-	-	-	tr|A0A0L7KTG6|A0A0L7KTG6_OPEBR	Adipose_triglyceride_lipase_(Fragment)	Operophtera_brumata	3.4e-85	97	69	-	-	-	N	0	6.67361223813724	16.3982253906856	4.97601925858271	1.90824795725296	1.25379210466884	0.207845517522146	5,833333333	4,2	17,16666667
Limetabo	TRINITY_DN32950_c0_g1_i1	Eucalanus-hyalinus_35534	OG0000384	IPR002641|IPR016035|IPR033562	Patatin-like phospholipase domain|Acyl transferase/acyl hydrolase/lysophospholipase|Patatin-like phospholipase domain-containing protein	Insecta|Lepidoptera	1.47e-107	ko01000|ko03036	Enzymes|Chromosome_and_associated_proteins	ko00561|ko04714|ko04923	Glycerolipid_metabolism_(Lipid_metabolism)|Thermogenesis_(Environmental_adaptation)|Regulation_of_lipolysis_in_adipocytes_(Endocrine_system)	GO:0016042	lipid_catabolic_process	primary_metabolic_process	metabolic_process	GO:0016787	hydrolase_activity	hydrolase_activity	catalytic_activity	-	-	-	-	tr|A0A0L7KTG6|A0A0L7KTG6_OPEBR	Adipose_triglyceride_lipase_(Fragment)	Operophtera_brumata	3.4e-85	97	69	-	-	-	N	0	6.67361223813724	16.3982253906856	4.97601925858271	1.90824795725296	1.25379210466884	0.207845517522146	5,833333333	4,2	17,16666667
Limetabo	TRINITY_DN13471_c0_g1_i1	Eucalanus-hyalinus_28268	OG0000886	IPR029058	Alpha/Beta hydrolase fold	Arthropoda|Insecta	5.29e-51	ko01000|ko01002|ko04147	Enzymes|Peptidases_and_inhibitors|Exosome	-	-	-	-	-	-	-	-	-	-	-	-	-	-	tr|A0A067QHM6|A0A067QHM6_ZOONE	Monoacylglycerol_lipase_ABHD12	Zootermopsis_nevadensis	2.0e-42	88	85	PF12697	Alpha/beta hydrolase family	3.9E-9	N	0	4.23721411945222	11.929925879467	4.60742523942844	1.23682737970099	1.00612946670956	0.346409195870243	9,666666667	2,9	9,611111111
Limetabo	TRINITY_DN13275_c0_g1_i1	Eucalanus-hyalinus_24858	OG0002008	IPR002076|IPR030457	ELO family|ELO family, conserved site	Arthropoda|Insecta	7.72e-105	ko01000|ko01004	Enzymes|Lipid_biosynthesis_proteins	ko00062|ko01040	Fatty_acid_elongation_(Lipid_metabolism)|Biosynthesis_of_unsaturated_fatty_acids_(Lipid_metabolism)	-	-	-	-	GO:0009922	fatty_acid_elongase_activity	transferase_activity	catalytic_activity	-	-	-	-	tr|A0A553PS12|A0A553PS12_TIGCA	Elongation_of_very_long_chain_fatty_acids_protein	Tigriopus_californicus	2.5e-85	91	88	PF01151	GNS1/SUR4 family	7.0E-66	N	7	31.2061239917708	55.5184613390552	17.1855561445401	6.6310955305962	8.79088123283921	9.97096739464348	0,666666667	1,1	6,388888889
Limetabo	TRINITY_DN30073_c0_g1_i1	Eucalanus-hyalinus_29996	OG0002165	IPR042099|IPR045311	ANL, N-terminal domain|Long-chain fatty acid CoA synthetase, eukaryotic	Insecta|Paraneoptera	3.74e-248	ko01000|ko01004|ko04147	Enzymes|Lipid_biosynthesis_proteins|Exosome	ko00061|ko00071|ko02024|ko03320|ko04146|ko04216|ko04714|ko04920	Fatty_acid_biosynthesis_(Lipid_metabolism)|Fatty_acid_degradation_(Lipid_metabolism)|Quorum_sensing_(Cellular_community-prokaryotes)|PPAR_signaling_pathway_(Endocrine_system)|Peroxisome_(Transport_and_catabolism)|Ferroptosis_(Cell_growth_and_death)|Thermogenesis_(Environmental_adaptation)|Adipocytokine_signaling_pathway_(Endocrine_system)	GO:0006631	fatty_acid_metabolic_process	cellular_metabolic_process	metabolic_process	GO:0004467	long-chain_fatty_acid-CoA_ligase_activity	ligase_activity	catalytic_activity	-	-	-	-	tr|A0A0N7ZC03|A0A0N7ZC03_SCYOL	Long-chain-fatty-acid--CoA_ligase	Scylla_olivacea	6.9e-204	86	94	PF00501	AMP-binding enzyme	8.2E-86	N	0	6.20546481935477	20.2283041521535	4.77286978681166	1.66561158193664	2.50141874061082	1.78825990576219	0,333333333	1,6	3,611111111
Limetabo	TRINITY_DN13001_c0_g1_i1	Eucalanus-hyalinus_39605	OG0006525	IPR005914|IPR020845|IPR042099|IPR045851	Acetoacetyl-CoA synthase|AMP-binding, conserved site|ANL, N-terminal domain|AMP-binding enzyme, C-terminal domain superfamily	Euarchontoglires|Primates	1.06e-231	ko01000|ko01004	Enzymes|Lipid_biosynthesis_proteins	ko00280|ko00650	Valine,_leucine_and_isoleucine_degradation_(Amino_acid_metabolism)|Butanoate_metabolism_(Carbohydrate_metabolism)	GO:0006629	lipid_metabolic_process	primary_metabolic_process	metabolic_process	GO:0030729	acetoacetate-CoA_ligase_activity	ligase_activity	catalytic_activity	-	-	-	-	tr|A0A553PHN7|A0A553PHN7_TIGCA	Acetoacetyl-CoA_synthetase	Tigriopus_californicus	1.2e-205	98	61	PF00501	AMP-binding enzyme	1.6E-23	N	0	7.99236128293311	26.9406284924035	7.9474578612402	1.89912210125686	3.71892161213338	3.21228263558303	1,5	1,1	2,055555556
Limetabo	TRINITY_DN26630_c0_g1_i1	Eucalanus-hyalinus_18581	OG0012475	-	-	Bilateria|Arthropoda	3.35e-87			-	-	GO:0008610	lipid_biosynthetic_process	primary_metabolic_process	metabolic_process	GO:0005506|GO:0016491	iron_ion_binding|oxidoreductase_activity	ion_binding|oxidoreductase_activity	binding|catalytic_activity	-	-	-	-	tr|A0A8J2PAT7|A0A8J2PAT7_9HEXA	Fatty_acid_hydroxylase_domain-containing_protein	Allacma_fusca	2.2e-72	95	42	PF04116	Fatty acid hydroxylase superfamily	4.1E-24	N	1	6.87639319956817	11.8803469667212	2.30067475691899	0.716855052724658	0	0	0,666666667	1,2	1
Limetabo	TRINITY_DN23464_c0_g1_i1	Eucalanus-hyalinus_42253	OG0015537	-	-	Opisthokonta|Metazoa	2.69e-126	ko04131	Membrane_trafficking	-	-	GO:0008610	lipid_biosynthetic_process	primary_metabolic_process	metabolic_process	GO:0005506|GO:0016491	iron_ion_binding|oxidoreductase_activity	ion_binding|oxidoreductase_activity	binding|catalytic_activity	-	-	-	-	tr|A0A913WQU7|A0A913WQU7_EXADI	Fatty_acid_hydroxylase_domain-containing_protein	Exaiptasia_diaphana	2.0e-142	84	96	PF04116	Fatty acid hydroxylase superfamily	9.4E-18	N	4	6.29127841677359	13.3991865053047	5.96391027913677	2.1861919906136	2.17057812727379	1.65095880097195	1	0,7	1,055555556
Limetabo	TRINITY_DN46277_c0_g1_i1	Eucalanus-hyalinus_35533	OG0000384	-	-	Arthropoda|Insecta	2.84e-05	ko01000|ko03036	Enzymes|Chromosome_and_associated_proteins	ko00561|ko04714|ko04923	Glycerolipid_metabolism_(Lipid_metabolism)|Thermogenesis_(Environmental_adaptation)|Regulation_of_lipolysis_in_adipocytes_(Endocrine_system)	-	-	-	-	-	-	-	-	-	-	-	-	tr|A0A8J5K3J1|A0A8J5K3J1_HOMAM	Patatin-like_phospholipase_domain-containing_protein_2-like_2_(Fragment)	Homarus_americanus	1.4e-07	77	34	-	-	-	N	0	7.3177833035945	13.1679521389266	6.23217179239113	1.73379408483006	1.21511383335364	1.08774189759747	5,833333333	4,2	17,16666667
Limetabo	TRINITY_DN318_c0_g1_i5	Eucalanus-hyalinus_9961	OG0000151	IPR011001	Saposin-like	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	noHit	-	-	-	-	-	-	-	-	N	1	34.2658332880406	117.982294829353	18.5263802718657	7.33090203121707	7.30674593571048	8.08997463419207	16,66666667	11	24,66666667
Limetabo	TRINITY_DN18794_c0_g1_i1	Eucalanus-hyalinus_37567	OG0000668	IPR026055|IPR033640|IPR036291	Fatty acyl-CoA reductase|Fatty acyl-CoA reductase, C-terminal|NAD(P)-binding domain superfamily	Arthropoda|Insecta	5.38e-145	ko01000	Enzymes	ko00073|ko04146|ko04212	Cutin,_suberine_and_wax_biosynthesis_(Lipid_metabolism)|Peroxisome_(Transport_and_catabolism)|Longevity_regulating_pathway-worm_(Aging)	-	-	-	-	GO:0080019	alcohol-forming_very_long-chain_fatty_acyl-CoA_reductase_activity	oxidoreductase_activity	catalytic_activity	-	-	-	-	tr|G3KIJ8|G3KIJ8_CALFI	Fatty_acyl-CoA_reductase_(Fragment)	Calanus_finmarchicus	4.0e-174	92	98	PF07993|PF03015	Male sterility protein|Male sterility protein	5.9E-73|1.1E-26	N	1	10.7854018771439	16.2382057199034	9.19171490340248	2.50463679445898	2.32774931640978	2.47658518853066	4,333333333	2,6	10,55555556
Limetabo	TRINITY_DN16349_c0_g1_i1	Eucalanus-hyalinus_8743	OG0000940	IPR001522|IPR015876	Fatty acid desaturase type 1, conserved site|Acyl-CoA desaturase	Chordata|Vertebrata	1.77e-90	ko01000|ko01004|ko03016	Enzymes|Lipid_biosynthesis_proteins|Transfer_RNA_biogenesis	ko01040|ko03320|ko04152|ko04212	Biosynthesis_of_unsaturated_fatty_acids_(Lipid_metabolism)|PPAR_signaling_pathway_(Endocrine_system)|AMPK_signaling_pathway_(Signal_transduction)|Longevity_regulating_pathway-worm_(Aging)	GO:0006629	lipid_metabolic_process	primary_metabolic_process	metabolic_process	GO:0016717	oxidoreductase_activity,_acting_on_paired_donors,_with_oxidation_of_a_pair_of_donors_resulting_in_the_reduction_of_molecular_oxygen_to_two_molecules_of_water	oxidoreductase_activity	catalytic_activity	-	-	-	-	tr|W8P2G2|W8P2G2_CALHY	Acyl-CoA_desaturase_delta9	Calanus_hyperboreus	8.0e-98	98	63	PF00487	Fatty acid desaturase	3.6E-13	N	2	26.187770035253	61.9419696639885	13.8248377712451	3.62745930294405	4.03850483810854	3.40774829431389	4,666666667	0,5	10,44444444
Limetabo	TRINITY_DN3598_c0_g1_i1	Eucalanus-hyalinus_29348	OG0007440	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	tr|A0A553PDQ7|A0A553PDQ7_TIGCA	Phytanoyl-CoA_dioxygenase	Tigriopus_californicus	1.7e-70	100	69	PF05721	Phytanoyl-CoA dioxygenase (PhyH)	5.9E-22	N	0	25.4993521461033	58.5994969229533	19.1084555527212	6.22956226693621	8.37993172055556	7.63737895687247	2,666666667	1,5	1,944444444
